,Bunny_Data,Bunnydist,Humidity,Humidity_Data,LightLevel,Light_Data,Temperature,Temperature_Data
-O1RNIIp-oZPNlBnA7QL,419.31189,419.31189,70.3,75.7,38.51038,43.34554,31.9,30.5
-O1RNX5JeTOfvqImP-zS,419.31189,419.31189,70.3,75.6,38.51038,43.2967,31.9,30.5
-O1RNjIJEmPN6NwydonW,419.31189,419.31189,70.3,75.8,38.51038,43.10135,31.9,30.5
-O1RNwI1mHhr6ubi5sXd,419.31189,419.31189,70.3,75.8,38.51038,43.22344,31.9,30.5
-O1RO8gUX5uwjR3wcGdD,419.31189,419.31189,70.3,75.8,38.51038,43.2967,31.9,30.5
-O1RONItlRcGda0fns0K,419.31189,419.31189,70.3,75.8,38.51038,43.4188,31.9,30.6
-O1RO_h3X5eC-YL5LFty,419.31189,419.31189,70.3,75.7,38.51038,43.12576,31.9,30.6
-O1ROnI79fxNPe3Flzrs,419.31189,419.31189,70.3,75.7,38.51038,43.32113,31.9,30.6
-O1RP0trDH_SYUa-cXqJ,419.31189,419.31189,70.3,75.7,38.51038,43.34554,31.9,30.6
-O1RPE5Z9Ps1CkbAKPqR,419.31189,419.31189,70.3,75.7,38.51038,43.15018,31.9,30.6
-O1RPRVHh4dKiCWujQWF,419.31189,419.31189,70.3,75.6,38.51038,43.24786,31.9,30.6
-O1RPdtr-K7XrMryoD4Y,419.31189,419.31189,70.3,75.7,38.51038,43.2967,31.9,30.6
-O1RPrIyk-aolPEmzioA,419.31189,419.31189,70.3,75.7,38.51038,43.36996,31.9,30.6
-O1RQ4V_1IOA3ZI1oWVV,419.31189,419.31189,70.3,75.7,38.51038,43.36996,31.9,30.6
-O1RQIUtFvF5eE0ZoSHe,419.31189,419.31189,70.3,75.8,38.51038,43.36996,31.9,30.6
-O1RQVI0FiPZ6BxWq9Km,419.31189,419.31189,70.3,75.9,38.51038,43.32113,31.9,30.5
-O1RQitQ8AY434cLe3-L,419.31189,419.31189,70.3,76.0,38.51038,43.24786,31.9,30.5
-O1RQwgvvnhP2Ps8sRWc,419.31189,419.31189,70.3,76.0,38.51038,43.10135,31.9,30.5
-O1RR8gqrmEMpo4o7T7r,419.31189,419.31189,70.3,76.0,38.51038,43.36996,31.9,30.5
-O1RRM5jO9eiSmrPuLzL,419.31189,419.31189,70.3,76.0,38.51038,43.24786,31.9,30.5
-O1RRZrS3bxC5j5V0neG,419.31189,419.31189,70.3,76.1,38.51038,43.12576,31.9,30.5
-O1RRmuVb6vl3gw4-i5t,419.31189,419.31189,70.3,76.1,38.51038,43.24786,31.9,30.5
-O1RS-5herH-ZbI9FS5W,419.31189,419.31189,70.3,76.0,38.51038,43.24786,31.9,30.5
-O1RSCgueLj4PN_Ez00-,419.31189,419.31189,70.3,76.0,38.51038,43.24786,31.9,30.5
-O1RSQi3CwjEk2DqLgJg,419.31189,419.31189,70.3,75.9,38.51038,43.22344,31.9,30.5
-O1RSfhHIlDVccB1Otpv,419.31189,419.31189,70.3,75.9,38.51038,43.19902,31.9,30.5
-O1RSrV370n4Yr8o6usl,419.31189,419.31189,70.3,75.8,38.51038,43.19902,31.9,30.5
-O1RT3VRAxGbT6ToNYhB,419.31189,419.31189,70.3,75.9,38.51038,43.2967,31.9,30.5
-O1RTI5mJME3rLe-leO-,419.31189,419.31189,70.3,76.0,38.51038,43.27229,31.9,30.5
-O1RTWV8JHXkqWA-XFYL,419.31189,419.31189,70.3,75.9,38.51038,43.24786,31.9,30.5
-O1RTi9HAGVFOWz8a7aZ,419.31189,419.31189,70.3,76.1,38.51038,43.36996,31.9,30.5
-O1RTvhcZhmfzmrmgFPA,419.31189,419.31189,70.3,76.2,38.51038,43.2967,31.9,30.4
-O1RUBV3ta3nDKUKYW_e,419.31189,419.31189,70.3,76.2,38.51038,43.22344,31.9,30.4
-O1RULtPRaaiTOCeS0lq,419.31189,419.31189,70.3,76.4,38.51038,43.32113,31.9,30.4
-O1RU_64Xs1tQSHO1qb0,419.31189,419.31189,70.3,76.5,38.51038,43.27229,31.9,30.4
-O1RUn5zsxhNfmMYhU40,419.31189,419.31189,70.3,76.5,38.51038,43.32113,31.9,30.4
-O1RV0V8ELVSKCQLc0HV,419.31189,419.31189,70.3,76.4,38.51038,43.34554,31.9,30.4
-O1RVDJHcK8mgP0JHT0i,419.31189,419.31189,70.3,76.5,38.51038,65.95849,31.9,30.4
-O1RVPhXT0pZ0V1TKdqu,419.31189,419.31189,70.3,76.6,38.51038,43.39438,31.9,30.4
-O1RVetXCEFfy5mmJk8B,419.31189,419.31189,70.3,76.6,38.51038,43.34554,31.9,30.4
-O1RVruKqtd8D-Jb11ZK,419.31189,419.31189,70.3,76.6,38.51038,43.36996,31.9,30.4
-O1RW47IqxO3OAuayoJo,419.31189,419.31189,70.3,76.7,38.51038,43.63858,31.9,30.4
-O1RWGIj0i_LVLbwwJDD,419.31189,419.31189,70.3,76.7,38.51038,43.36996,31.9,30.4
-O1RWX5gc3RmwMo2rshN,419.31189,419.31189,70.3,76.6,38.51038,43.34554,31.9,30.4
-O1RWhuVnEQ-H4NWUNL2,419.31189,419.31189,70.3,76.6,38.51038,43.15018,31.9,30.4
-O1RWuVhNplmnwa6tQG2,419.31189,419.31189,70.3,76.6,38.51038,43.36996,31.9,30.4
-O1RX7VyIYMvkbySTMV0,419.31189,419.31189,70.3,76.5,38.51038,43.51648,31.9,30.5
-O1RXMIfvilDxr-WcjSa,419.31189,419.31189,70.3,76.5,38.51038,43.44322,31.9,30.5
-O1RXZ5p--KC5Y-GICGo,419.31189,419.31189,70.3,76.4,38.51038,43.22344,31.9,30.5
-O1RXm5eg-oKf_dMEcbE,419.31189,419.31189,70.3,76.4,38.51038,43.34554,31.9,30.5
-O1RXzJnrJVWv-6vFzSS,419.31189,419.31189,70.3,76.2,38.51038,43.46764,31.9,30.6
-O1RYLhZxG9__wnIlSeu,419.31189,419.31189,70.3,76.3,38.51038,43.4188,31.9,30.6
-O1RYQJcXr6LcEUn9JDX,419.31189,419.31189,70.3,76.3,38.51038,43.34554,31.9,30.5
-O1RYdv5vqV7JNZh6Mpo,419.31189,419.31189,70.3,76.4,38.51038,43.34554,31.9,30.5
-O1RYqId0822BJRSHjUa,419.31189,419.31189,70.3,76.4,38.51038,65.90965,31.9,30.6
-O1RZ4h3sFzxMoeISG2K,419.31189,419.31189,70.3,76.3,38.51038,43.4188,31.9,30.6
-O1RZGIxLQ6QJH7iCa_L,419.31189,419.31189,70.3,76.2,38.51038,43.4188,31.9,30.6
-O1RZWW0Gokn5fUPZsC2,419.31189,419.31189,70.3,76.2,38.51038,43.34554,31.9,30.6
-O1RZhVxozyg7TPfLGic,419.31189,419.31189,70.3,76.3,38.51038,43.27229,31.9,30.6
-O1RZvJge24SWmbSAP_T,419.31189,419.31189,70.3,76.3,38.51038,43.36996,31.9,30.6
-O1R_9Vojltj-re9z525,419.31189,419.31189,70.3,76.5,38.51038,43.24786,31.9,30.5
-O1R_NMx_ZQisL7AghbZ,419.31189,419.31189,70.3,76.5,38.51038,43.34554,31.9,30.5
-O1R_c6laGJIosnkbt3-,419.31189,419.31189,70.3,76.6,38.51038,43.2967,31.9,30.5
-O1R_lIymJHE4IAhfXgD,419.31189,419.31189,70.3,76.7,38.51038,43.39438,31.9,30.5
-O1R_zucDNZUI-KJqZbj,419.31189,419.31189,70.3,76.6,38.51038,43.24786,31.9,30.5
-O1RaB6-zM3JjeGSsYl4,419.31189,419.31189,70.3,76.6,38.51038,40.21978,31.9,30.6
-O1RaShGInIPWalWrYCr,419.31189,419.31189,70.3,76.5,38.51038,40.19536,31.9,30.6
-O1RabhgMMZIn-2KSyGD,419.31189,419.31189,70.3,76.5,38.51038,40.07326,31.9,30.6
-O1RaqJGqqkqWQU4LtUv,419.31189,419.31189,70.3,76.6,38.51038,40.2442,31.9,30.6
-O1Rb56WK_cxkgRpHHL2,419.31189,419.31189,70.3,76.8,38.51038,40.19536,31.9,30.6
-O1RbIhEUcQdaxlVf7VK,419.31189,419.31189,70.3,76.8,38.51038,40.2442,31.9,30.5
-O1RbTuUuA6p32CpkQ3h,419.31189,419.31189,70.3,76.8,38.51038,40.07326,31.9,30.6
-O1RbgiQfTZVYS1G4VLp,419.31189,419.31189,70.3,76.8,38.51038,40.17094,31.9,30.6
-O1RbzJxXztqGSTwI57g,419.31189,419.31189,70.3,76.9,38.51038,40.0,31.9,30.6
-O1RcBWNySvPRrG4t9tA,419.31189,419.31189,70.3,77.1,38.51038,40.21978,31.9,30.6
-O1RcQ6HHygMQ8_Jm6QK,419.31189,419.31189,70.3,77.3,38.51038,40.17094,31.9,30.5
-O1Rcnh8AKmi2kxMjaaM,419.31189,419.31189,70.3,77.4,38.51038,40.09768,31.9,30.5
-O1Rcqu89vvqG_71OIqy,419.31189,419.31189,70.3,77.7,38.51038,40.17094,31.9,30.5
-O1Rd5VxWe9Cm7glRxoQ,419.31189,419.31189,70.3,77.7,38.51038,40.2442,31.9,30.5
-O1RdJIxxXNatZtRZQMp,419.31189,419.31189,70.3,77.6,38.51038,40.2442,31.9,30.5
-O1RdX6QzI-SZaSejH97,419.31189,419.31189,70.3,77.7,38.51038,40.31746,31.9,30.5
